License: Number,Type,Licensee,Licensee Doing Business As,Public Address Street,Public Address City,Public Zip,Public Address - County,Issue Date,Expiration Date,Effective Date
MMD.0700111,Medical Marijuana Dispensary - Certificate of Operation,"SEO Natural Enterprises, LLC",Backroad Wellness,1503 Harding Hwy,Lima,45804-3173,Allen,3/30/2023,7/1/2025,3/30/2023
MMD.0700114,Medical Marijuana Dispensary - Certificate of Operation,Italian Herbs LLC,Italian Herbs,2712 W Prospect Rd,Ashtabula,44004-6336,Ashtabula,4/12/2023,7/1/2025,4/12/2023
MMD.0700117,Medical Marijuana Dispensary - Certificate of Operation,"Big Perm?s Dispensary Ohio, LLC",Debbie's Dispensary,544 Richland Ave,Athens,45701-3703,Athens,8/14/2023,7/1/2025,8/14/2023
MMD.0700078,Medical Marijuana Dispensary - Certificate of Operation,"The Mavuno Group, LLC",Mavuno of Athens,711 W Union St,Athens,45701-9410,Athens,9/1/2021,7/1/2025,7/2/2023
MMD.0700059,Medical Marijuana Dispensary - Certificate of Operation,"Eagle Dispensaries 2, LLC",Verilife,502 N Dixie Hwy,Wapakoneta,45895-7757,Auglaize,1/22/2021,7/1/2025,7/2/2023
MMD.0700097,Medical Marijuana Dispensary - Certificate of Operation,"Cascade Southern Ohio, LLC",Uplift,101 Mercy Blvd,Mount Orab,45154-0296,Brown,1/18/2023,7/1/2025,1/18/2023
MMD.0700031,Medical Marijuana Dispensary - Certificate of Operation,"127 OH, LLC",Bloom Medicinals,403 S Main St,Seven Mile,45011,Butler,9/10/2019,7/1/2025,7/2/2023
MMD.0700115,Medical Marijuana Dispensary - Certificate of Operation,LMTT LLC,Consume Oxford,3620 Southpoint Pkwy,Oxford,45056-8006,Butler,2/6/2023,7/1/2025,2/6/2023
MMD.0700127,Medical Marijuana Dispensary - Certificate of Operation,"RJK Holdings of Ohio, LLC",Pure Iconic,5280 College Corner Pike,Oxford,45056-1047,Butler,4/27/2023,7/1/2025,4/27/2023
MMD.0700106,Medical Marijuana Dispensary - Certificate of Operation,"Shangri-La Monroe West, LLC",Shangri-La Dispensary,211 Brooks Dr,Monroe,45050-1883,Butler,5/23/2023,7/1/2025,5/23/2023
MMD.0700110,Medical Marijuana Dispensary - Certificate of Operation,"Shangri-La Dispensary Ohio, LLC",Shangri-La Dispensary,100 Clarence F Warner Dr,Monroe,45050-3200,Butler,7/5/2023,7/1/2025,7/5/2023
MMD.0700072,Medical Marijuana Dispensary - Certificate of Operation,"Cannascend Alternative, LLC",,300 N Main St,Monroe,45050-1495,Butler,6/30/2021,7/1/2025,7/2/2023
MMD.0700085,Medical Marijuana Dispensary - Certificate of Operation,BCR Retail Springfield LLC,Terrasana,183 Raydo Cir,Springfield,45506-3556,Clark,10/19/2021,7/1/2025,7/2/2023
MMD.0700056,Medical Marijuana Dispensary - Certificate of Operation,"The Forest Springfield, LLC",,1711 W Main St,Springfield,45504-2835,Clark,10/29/2020,7/1/2025,7/2/2023
MMD.0700138,Medical Marijuana Dispensary - Certificate of Operation,"Heaven Wellness, LLC",Ayr Wellness,6722 State Route 132,Goshen,45122-9249,Clermont,11/1/2023,7/1/2025,11/1/2023
