GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
G39000107701001,390017701001,88,8
G39000107701002,390017701002,79,7
G39000107701003,390017701003,75,6
G39000107701004,390017701004,78,6
G39000107702001,390017702001,79,7
G39000107702002,390017702002,78,6
G39000107702003,390017702003,81,7
G39000107702004,390017702004,82,7
G39000107703011,390017703011,69,5
G39000107703012,390017703012,55,3
G39000107703021,390017703021,71,5
G39000107703022,390017703022,67,5
G39000107704001,390017704001,90,8
G39000107704002,390017704002,90,8
G39000107704003,390017704003,88,8
G39000107704004,390017704004,92,9
G39000107705001,390017705001,73,6
G39000107705002,390017705002,91,8
G39000107705003,390017705003,92,9
G39000107706001,390017706001,95,9
G39000107706002,390017706002,91,8
G39000107706003,390017706003,99,10
G39000107706004,390017706004,95,9
G39000300101001,390030101001,62,4
G39000300101002,390030101002,61,4
G39000300101003,390030101003,62,4
G39000300102001,390030102001,71,5
G39000300102002,390030102002,57,3
G39000300102003,390030102003,75,6
G39000300102004,390030102004,74,6
G39000300103001,390030103001,59,3
G39000300103002,390030103002,58,3
G39000300106001,390030106001,67,5
G39000300106002,390030106002,58,3
G39000300106003,390030106003,62,4
G39000300106004,390030106004,77,6
G39000300108011,390030108011,74,6
G39000300108012,390030108012,63,4
G39000300108013,390030108013,58,3
G39000300108021,390030108021,67,5
G39000300108022,390030108022,37,2
G39000300109001,390030109001,GQ,GQ
G39000300109002,390030109002,76,6
G39000300109003,390030109003,71,5
G39000300110001,390030110001,84,7
G39000300110002,390030110002,83,7
G39000300110003,390030110003,82,7
G39000300110004,390030110004,83,7
G39000300112001,390030112001,GQ-PH,GQ-PH
G39000300112002,390030112002,93,9
G39000300113011,390030113011,100,10
G39000300113012,390030113012,70,5
G39000300113013,390030113013,63,4
G39000300113021,390030113021,55,3
G39000300113022,390030113022,52,3
G39000300114001,390030114001,62,4
G39000300114002,390030114002,66,4
G39000300115001,390030115001,67,5
G39000300115002,390030115002,70,5
G39000300116001,390030116001,89,8
G39000300116002,390030116002,66,4
G39000300116003,390030116003,65,4
G39000300118001,390030118001,72,5
G39000300118002,390030118002,50,2
G39000300119001,390030119001,79,7
G39000300119002,390030119002,65,4
G39000300119003,390030119003,69,5
G39000300119004,390030119004,98,10
G39000300120001,390030120001,40,2
G39000300120002,390030120002,53,3
G39000300121001,390030121001,50,2
G39000300121002,390030121002,51,3
G39000300122001,390030122001,93,9
G39000300122002,390030122002,92,9
G39000300123001,390030123001,98,10
G39000300123002,390030123002,96,9
G39000300123003,390030123003,94,9
G39000300124001,390030124001,99,10
G39000300124002,390030124002,97,10
G39000300126001,390030126001,95,9
G39000300126002,390030126002,95,9
G39000300127001,390030127001,97,10
G39000300127002,390030127002,100,10
G39000300129001,390030129001,100,10
G39000300129002,390030129002,99,10
G39000300130001,390030130001,91,8
G39000300130002,390030130002,93,9
