Business_Name,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp,Median_Income_Dollars,Mean_Income_Dollars,Public Address Street,Public Address City,Full Address,Geo,ZCTA5,Places_ID,GEOID
Bristow Pharmacy,45167,226,475,-35.2,"2,977","3,226",73.4,"$66,875.00 ","$80,376.00 ",100 Main St,Ripley,"100 Main St, Ripley, OH 45167, USA","38.74579,-83.845231",45167,ChIJ7-DJD6tGQYgRhL7TM-pNGeg,39015-RIPLEY VLG
Walmart Pharmacy,45693,145,406,-46.9,"7,646","8,262",,"$45,556.00 ","$65,918.00 ",11217 State Rte 41,West Union,"11217 State Rte 41, West Union, OH 45693, USA","38.7845741,-83.56419439999999",45693,ChIJ8zuHXRG1RogRlDkkcgm_HR0,39001-WEST UNION B
Blake Pharmacy and Radio Shack,45693,145,406,-46.9,"7,646","8,262",,"$45,556.00 ","$65,918.00 ",206 N Market St,West Union,"206 N Market St, West Union, OH 45693, USA","38.7949142,-83.5455607",45693,ChIJefoUFpy1RogRAURZkfkGMDk,39001-WEST UNION B
SOMC Pharmacy West Union,45693,145,406,-46.9,"7,646","8,262",,"$45,556.00 ","$65,918.00 ",90 CIC Blvd,West Union,"90 CIC Blvd, West Union, OH 45693, USA","38.786999900000005,-83.55775179999999",45693,ChIJZQmSeCC1RogR1lcsn5H21wk,39001-WEST UNION B
SOMC West Union Family Health Center,45693,145,406,-46.9,"7,646","8,262",,"$45,556.00 ","$65,918.00 ",90 CIC Blvd,West Union,"90 CIC Blvd, West Union, OH 45693, USA","38.7870566,-83.55775419999999",45693,ChIJhUIlLpy1RogRBqj6FTgZdaM,39001-WEST UNION B
Walk Up Pharmacy,45662,123,40,50.3,"25,143","26,436",68.2,"$37,345.00 ","$57,022.00 ",,Portsmouth,"Portsmouth, OH 45662, USA","38.736372599999996,-82.9958896",45662,ChIJn2JtgICMRogRpsIvdnTbLIw,39145-PORTSMOUTH 2-B
Kroger Pharmacy,45662,123,40,50.3,"25,143","26,436",68.2,"$37,345.00 ","$57,022.00 ",811 Gay St,Portsmouth,"811 Gay St, Portsmouth, OH 45662, USA","38.7361053,-82.9955694",45662,ChIJIyWZeoCMRogRUNVc0WktyH4,39145-PORTSMOUTH 2-B
Franklin Furnace Pharmacy,45629,128,285,-37.6,"2,690","2,746",75.3,"$61,722.00 ","$81,276.00 ",561 Norwich Ave #8892,Franklin Furnace,"561 Norwich Ave #8892, Franklin Furnace, OH 45629, USA","38.6242006,-82.84517009999999",45629,ChIJZzlZdRVjRogRCUfGP-KxnlE,39145-GREEN TWP E
CVS Pharmacy,45638,40,106,-45.2,"18,332","19,581",70.2,"$49,544.00 ","$63,653.00 ",320 Jefferson St,Ironton,"320 Jefferson St, Ironton, OH 45638, USA","38.5313784,-82.68153840000001",45638,ChIJPRa_MRhxRogR3abP5Err5eg,39087-IRONTON 2C
Coal Grove Pharmacy,45638,69,322,-64.7,"18,332","19,581",73.5,"$49,544.00 ","$63,653.00 ",600 Marion Pike,Coal Grove,"600 Marion Pike, Coal Grove, OH 45638, USA","38.500991899999995,-82.64318589999999",45638,ChIJp5jrUQF0RogR7IzAGvEAWK0,39087-COAL GROVE B
Gahm's Pharmacy II,45663,92,263,-47.5,"6,128","6,435",70.6,"$48,224.00 ","$61,120.00 ",1565 Galena Pike,West Portsmouth,"1565 Galena Pike, West Portsmouth, OH 45663, USA","38.755693799999996,-83.0242933",45663,ChIJUxBwjeiMRogRl3D-Pvvc5gY,39145-WASH C
McMeans Pharmacy,45680,87,207,-40.5,"11,097","11,723",74.7,"$55,348.00 ","$78,359.00 ",708 4th St E,South Point,"708 4th St E, South Point, OH 45680, USA","38.4141386,-82.58217859999999",45680,ChIJEVGMlfTfRYgRgwvGXRhAfUU,39087-SOUTH POINT 1
Kroger Pharmacy,45694,105,298,-47.3,"12,018","12,596",,"$64,482.00 ","$80,381.00 ",9101 Ohio River Rd,Wheelersburg,"9101 Ohio River Rd, Wheelersburg, OH 45694, USA","38.7129993,-82.8580257",45694,ChIJOftT9A5hRogRcaP5elgOKjA,39145-PORTER C
Smith's Pharmacy,45662,121,174,-17.7,"25,143","26,436",68.2,"$37,345.00 ","$57,022.00 ",741 2nd St,Portsmouth,"741 2nd St, Portsmouth, OH 45662, USA","38.7318162,-82.99715180000001",45662,ChIJkb9SpX6MRogRgb1MH-DzS1E,39145-PORTSMOUTH 1-B
Morton's Pharmacy,45662,243,356,-18.7,"25,143","26,436",75.7,"$37,345.00 ","$57,022.00 ",1865 Coles Blvd,Portsmouth,"1865 Coles Blvd, Portsmouth, OH 45662, USA","38.7564,-82.9759",45662,ChIJn8_55kGLRogRPlPqBIyBzEc,39145-PORTSMOUTH 3-D
Fruth Pharmacy,45638,81,196,-41.4,"18,332","19,581",75.3,"$49,544.00 ","$63,653.00 ",1848 OH-141,Ironton,"1848 OH-141, Ironton, OH 45638, USA","38.527045,-82.664045",45638,ChIJI3wK29lzRogRd6h7v5WoBrA,39087-IRONTON 5A
SOMC Pharmacy South Campus,45662,122,95,12.1,"25,143","26,436",74.4,"$37,345.00 ","$57,022.00 ",1248 Kinneys Ln,Portsmouth,"1248 Kinneys Ln, Portsmouth, OH 45662, USA","38.7461239,-82.98729070000002",45662,ChIJydwgU3uLRogRm-p0IwAmWoA,39145-PORTSMOUTH 3-B
CVS Pharmacy,45662,123,40,50.3,"25,143","26,436",68.2,"$37,345.00 ","$57,022.00 ",802 11th St,Portsmouth,"802 11th St, Portsmouth, OH 45662, USA","38.7387953,-82.9959441",45662,ChIJU63yVYCMRogRjb9UtQcAoMg,39145-PORTSMOUTH 2-B
CVS Pharmacy,45638,98,356,-56.3,"18,332","19,581",75.3,"$49,544.00 ","$63,653.00 ",1109 Ironton Hills Dr,Ironton,"1109 Ironton Hills Dr, Ironton, OH 45638, USA","38.5433673,-82.6749248",45638,ChIJ7Z0YGQxxRogRSZi1SUlrGEw,39087-UPPER 3
SOMC Pharmacy Main Campus,45662,259,285,-4.7,"25,143","26,436",74.6,"$37,345.00 ","$57,022.00 ",1805 27th St,Portsmouth,"1805 27th St, Portsmouth, OH 45662, USA","38.7531509,-82.97778319999999",45662,ChIJL6YsWbOLRogRRH6xtlFD2Ms,39145-PORTSMOUTH 3-C
CVS Pharmacy,45662,222,245,-4.9,"25,143","26,436",74.4,"$37,345.00 ","$57,022.00 ",2812 Scioto Trail,Portsmouth,"2812 Scioto Trail, Portsmouth, OH 45662, USA","38.757522699999996,-82.99046919999999",45662,ChIJz3Gz0V-LRogRDyXwyPWXDeg,39145-PORTSMOUTH 1-C
Clinical Pharmacy Services LLC,45694,133,521,-58.8,"12,018","12,596",78.7,"$64,482.00 ","$80,381.00 ",117 Kittle Rd,Wheelersburg,"117 Kittle Rd, Wheelersburg, OH 45694, USA","38.7574621,-82.7975683",45694,ChIJZ_HcpGdnRogRqYa0uYhucbU,39145-VERNON TWP B
