reg,label,fips
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39035,"Cuyahoga County, Ohio",39035
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39101,"Marion County, Ohio",39101
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39107,"Mercer County, Ohio",39107
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39005,"Ashland County, Ohio",39005
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39089,"Licking County, Ohio",39089
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39045,"Fairfield County, Ohio",39045
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39161,"Van Wert County, Ohio",39161
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39033,"Crawford County, Ohio",39033
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39167,"Washington County, Ohio",39167
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39137,"Putnam County, Ohio",39137
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39109,"Miami County, Ohio",39109
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39123,"Ottawa County, Ohio",39123
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39071,"Highland County, Ohio",39071
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39173,"Wood County, Ohio",39173
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39157,"Tuscarawas County, Ohio",39157
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39067,"Harrison County, Ohio",39067
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39029,"Columbiana County, Ohio",39029
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39065,"Hardin County, Ohio",39065
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39007,"Ashtabula County, Ohio",39007
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39047,"Fayette County, Ohio",39047
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39103,"Medina County, Ohio",39103
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39093,"Lorain County, Ohio",39093
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39125,"Paulding County, Ohio",39125
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39091,"Logan County, Ohio",39091
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39097,"Madison County, Ohio",39097
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39023,"Clark County, Ohio",39023
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39019,"Carroll County, Ohio",39019
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39043,"Erie County, Ohio",39043
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39105,"Meigs County, Ohio",39105
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39037,"Darke County, Ohio",39037
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39003,"Allen County, Ohio",39003
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39087,"Lawrence County, Ohio",39087
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39113,"Montgomery County, Ohio",39113
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39127,"Perry County, Ohio",39127
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39165,"Warren County, Ohio",39165
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39027,"Clinton County, Ohio",39027
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39119,"Muskingum County, Ohio",39119
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39149,"Shelby County, Ohio",39149
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39139,"Richland County, Ohio",39139
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39039,"Defiance County, Ohio",39039
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39141,"Ross County, Ohio",39141
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39083,"Knox County, Ohio",39083
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39169,"Wayne County, Ohio",39169
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39147,"Seneca County, Ohio",39147
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39049,"Franklin County, Ohio",39049
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39159,"Union County, Ohio",39159
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39129,"Pickaway County, Ohio",39129
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39009,"Athens County, Ohio",39009
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39011,"Auglaize County, Ohio",39011
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39115,"Morgan County, Ohio",39115
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39073,"Hocking County, Ohio",39073
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39155,"Trumbull County, Ohio",39155
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39099,"Mahoning County, Ohio",39099
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39163,"Vinton County, Ohio",39163
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39175,"Wyandot County, Ohio",39175
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39031,"Coshocton County, Ohio",39031
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39061,"Hamilton County, Ohio",39061
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39041,"Delaware County, Ohio",39041
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39133,"Portage County, Ohio",39133
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39075,"Holmes County, Ohio",39075
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39017,"Butler County, Ohio",39017
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39117,"Morrow County, Ohio",39117
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39051,"Fulton County, Ohio",39051
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39057,"Greene County, Ohio",39057
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39095,"Lucas County, Ohio",39095
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39085,"Lake County, Ohio",39085
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39131,"Pike County, Ohio",39131
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39121,"Noble County, Ohio",39121
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39081,"Jefferson County, Ohio",39081
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39021,"Champaign County, Ohio",39021
