"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
39001770100,39,001,770100,74.2,1.34,3
39001770200,39,001,770200,75.7,1.3629,3
39001770300,39,001,770300,75.7,1.0976,1
39001770500,39,001,770500,72.5,1.5207,3
39001770600,39,001,770600,72,1.3962,3
39003010100,39,003,010100,82.2,1.2078,3
39003010200,39,003,010200,81.8,1.7374,3
39003010300,39,003,010300,81.2,2.2127,3
39003010600,39,003,010600,78.5,1.2158,3
39003010800,39,003,010800,82,1.0731,3
39003010900,39,003,010900,78.2,1.2538,3
39003011000,39,003,011000,72.7,1.3451,3
39003011200,39,003,011200,78.5,2.344,3
39003011300,39,003,011300,82.8,1.7296,3
39003011400,39,003,011400,78.4,1.1345,2
39003011500,39,003,011500,76.1,1.7967,3
39003011600,39,003,011600,74,2.3877,3
39003011800,39,003,011800,81.5,1.8308,3
39003011900,39,003,011900,76,0.9673,2
39003012000,39,003,012000,82.1,1.8478,3
39003012100,39,003,012100,80.7,1.7397,3
39003012200,39,003,012200,73.4,1.1357,3
39003012300,39,003,012300,72.8,1.2808,2
39003012400,39,003,012400,69.4,1.5944,3
39003012600,39,003,012600,69.1,1.7212,3
39003012900,39,003,012900,72.4,1.4411,2
39003013000,39,003,013000,75.5,1.3741,3
39003013100,39,003,013100,78.2,1.8657,3
39003013200,39,003,013200,77.7,1.8889,3
39003013300,39,003,013300,72,2.4776,3
39003013400,39,003,013400,72.6,2.3722,3
39003013700,39,003,013700,72.3,1.5354,2
39003013800,39,003,013800,75.5,1.7159,3
39003013900,39,003,013900,79,1.3752,3
39003014000,39,003,014000,79.9,1.6117,1
39005970100,39,005,970100,76.4,1.1447,2
39005970200,39,005,970200,81.3,1.9863,3
39005970300,39,005,970300,76.6,1.1024,1
39005970400,39,005,970400,74.6,1.3618,3
39005970500,39,005,970500,75.4,1.5362,3
39005970600,39,005,970600,77.1,0.7861,2
39005970700,39,005,970700,80.9,1.149,3
39005970800,39,005,970800,76.8,1.0117,3
39005970900,39,005,970900,80.8,1.0576,3
39005971000,39,005,971000,79.2,1.2767,3
39005971100,39,005,971100,78,1.3562,3
39007000101,39,007,000101,76.5,1.2619,3
39007000102,39,007,000102,74.9,1.8471,3
39007000103,39,007,000103,77,1.7696,3
39007000200,39,007,000200,81.5,1.3528,3
39007000300,39,007,000300,74.8,2.3107,3
39007000400,39,007,000400,74,1.8169,3
39007000500,39,007,000500,75.7,1.2606,3
39007000601,39,007,000601,70.3,1.9516,3
39007000602,39,007,000602,78,1.6462,3
39007000603,39,007,000603,76.3,1.4362,3
39007000701,39,007,000701,68.5,1.5824,3
39007000702,39,007,000702,76.4,1.502,3
39007000703,39,007,000703,73.6,1.6965,3
39007000704,39,007,000704,73.2,1.425,1
39007000801,39,007,000801,75.1,2.3535,3
39007000802,39,007,000802,76.4,2.1568,3
39007000900,39,007,000900,75.6,1.2416,3
39007001001,39,007,001001,77.9,1.1353,3
39007001002,39,007,001002,79.5,2.3079,3
39007001101,39,007,001101,79,2.0279,3
39007001102,39,007,001102,78.5,1.6154,3
39007001200,39,007,001200,78.6,1.4404,3
39007001301,39,007,001301,71.3,1.5596,3
39007001302,39,007,001302,75.1,1.7167,3
39007001400,39,007,001400,77.2,1.1516,1
39009972600,39,009,972600,73.1,1.7193,3
39009972700,39,009,972700,76.7,1.0846,3
39009972800,39,009,972800,73.7,1.0586,2
39009972900,39,009,972900,73.4,1.5232,3
39009973000,39,009,973000,82.1,1.7301,3
39009973200,39,009,973200,75.9,1.0402,2
39009973300,39,009,973300,80.7,1.6576,3
39009973400,39,009,973400,77.2,1.7763,3
39009973500,39,009,973500,78.9,1.8465,3
39009973600,39,009,973600,75.1,1.213,3
39009973700,39,009,973700,77.8,1.4025,3
39009973800,39,009,973800,77.7,1.9555,1
39011040100,39,011,040100,79.7,1.076,3
39011040200,39,011,040200,75.5,1.0605,3
39011040300,39,011,040300,76,1.3342,1
39011040400,39,011,040400,78.9,1.1475,3
39011040500,39,011,040500,80.6,1.4178,3
39011040600,39,011,040600,76.5,1.4264,3
39011040900,39,011,040900,78.8,1.1404,3
39011041000,39,011,041000,81.2,1.5509,1
39011041100,39,011,041100,80.4,1.0602,3
39011041201,39,011,041201,75.7,1.5897,3
39011041202,39,011,041202,79.6,1.4546,3
39013010100,39,013,010100,74.1,1.3367,1
39013010200,39,013,010200,77,1.4856,3
39013010300,39,013,010300,80.9,1.7085,3
39013010600,39,013,010600,78.1,1.2658,3
39013010700,39,013,010700,80.2,2.1819,3
39013010802,39,013,010802,77.3,1.4421,3
39013010900,39,013,010900,75.4,0.9547,3
39013011000,39,013,011000,76.5,1.6775,3
39013011200,39,013,011200,78.3,1.4064,3
39013011300,39,013,011300,75.8,0.9982,3
39013011400,39,013,011400,76.7,1.2278,3
39013011500,39,013,011500,70.4,2.1908,3
39013011600,39,013,011600,72.4,2.2748,2
39013011700,39,013,011700,68,2.3173,3
39013011900,39,013,011900,78.1,1.9023,3
39013012000,39,013,012000,75.8,1.9876,3
39013012100,39,013,012100,63.5,3.8161,3
39013012200,39,013,012200,75.3,3.3981,2
39013012300,39,013,012300,78.3,1.0805,3
39013012400,39,013,012400,80.9,1.2617,3
39015951201,39,015,951201,76.9,1.6918,3
39015951202,39,015,951202,74.7,1.7232,3
39015951300,39,015,951300,76.6,1.5292,3
39015951400,39,015,951400,73.6,1.494,3
39015951500,39,015,951500,77.7,1.1423,3
39015951600,39,015,951600,74.9,1.7584,3
39015951700,39,015,951700,73.4,1.6433,3
39015951800,39,015,951800,72.2,1.1726,3
39015951900,39,015,951900,75.7,1.4635,3
39017000100,39,017,000100,75.9,1.3714,1
39017000200,39,017,000200,71.4,1.3869,3
39017000300,39,017,000300,72.5,1.6448,1
39017000400,39,017,000400,69,1.4261,3
39017000500,39,017,000500,67.2,1.2601,3
39017000600,39,017,000600,69.8,1.3513,3
39017001001,39,017,001001,77,1.4382,1
39017001002,39,017,001002,75.1,1.4242,3
39017001100,39,017,001100,69.5,1.642,3
39017001300,39,017,001300,78.5,1.4442,3
39017010102,39,017,010102,79.6,0.9474,2
39017010202,39,017,010202,80.2,2.0706,3
39017010203,39,017,010203,79.6,1.3556,2
39017010301,39,017,010301,80.1,1.4433,3
39017010302,39,017,010302,78.3,1.5113,3
39017010500,39,017,010500,71.2,1.5349,3
39017010600,39,017,010600,74.8,1.1763,3
39017010800,39,017,010800,82.5,2.587,3
39017010901,39,017,010901,73.6,1.5548,3
39017010903,39,017,010903,80.9,2.0309,3
39017010904,39,017,010904,73.1,1.8372,3
39017010906,39,017,010906,76,1.2954,3
39017010907,39,017,010907,75.9,1.4125,3
39017010908,39,017,010908,80.5,3.0599,3
39017010909,39,017,010909,74.9,1.2717,3
39017010910,39,017,010910,80.6,1.4116,3
39017010911,39,017,010911,78.3,1.6198,3
39017011002,39,017,011002,80.7,1.524,3
39017011003,39,017,011003,79.9,1.6844,3
39017011004,39,017,011004,70.7,1.4006,3
39017011109,39,017,011109,79.9,2.1288,3
39017011111,39,017,011111,83,2.4533,3
39017011112,39,017,011112,85.5,3.6241,3
39017011116,39,017,011116,80.4,2.0981,3
39017011117,39,017,011117,81.8,2.938,3
39017011118,39,017,011118,81.1,1.7851,3
39017011120,39,017,011120,80.3,2.1982,3
39017011121,39,017,011121,81.7,2.6083,3
39017011122,39,017,011122,82.5,2.3448,3
39017011123,39,017,011123,77.2,2.0646,3
39017011125,39,017,011125,84.3,3.7089,3
39017011126,39,017,011126,80.3,1.9901,3
39017011127,39,017,011127,81.1,1.7927,3
39017011128,39,017,011128,81,1.7259,3
39017011129,39,017,011129,78.9,1.6631,3
39017011130,39,017,011130,83.9,2.768,3
39017011200,39,017,011200,79,1.0674,3
39017011300,39,017,011300,73.3,0.9808,3
39017011800,39,017,011800,77.2,1.6992,1
39017012100,39,017,012100,77.1,1.1638,2
39017012200,39,017,012200,68.6,1.8504,3
39017012300,39,017,012300,73,1.8129,3
39017012400,39,017,012400,78.5,1.8631,3
39017012600,39,017,012600,77.6,2.1218,3
39017012700,39,017,012700,75.1,1.3676,3
39017013000,39,017,013000,67.4,2.1895,3
39017013100,39,017,013100,66,1.9108,3
39017013200,39,017,013200,68,1.5385,3
39017013300,39,017,013300,74.4,1.7348,3
39017013400,39,017,013400,68.2,1.5692,3
39017013500,39,017,013500,75.6,1.3271,2
39017013600,39,017,013600,72.8,1.4725,3
39017014000,39,017,014000,70,1.7153,1
39017014100,39,017,014100,70.7,2.1053,3
39017014300,39,017,014300,79.3,1.9389,3
39017014400,39,017,014400,66.6,2.3622,3
39017014600,39,017,014600,68.8,2.7977,3
39017014700,39,017,014700,70.1,1.7126,3
39017014800,39,017,014800,75.8,1.1233,3
39017014900,39,017,014900,79.1,1.8595,3
39017015000,39,017,015000,78,1.1957,3
39017015100,39,017,015100,75.3,1.3692,1
39019720100,39,019,720100,76.6,1.221,3
39019720200,39,019,720200,77.9,1.5716,3
39019720300,39,019,720300,77.1,1.4845,1
39019720400,39,019,720400,81,1.9949,3
39019720500,39,019,720500,75.9,1.3924,1
39019720600,39,019,720600,77.2,1.7339,3
39019720700,39,019,720700,76.6,1.7295,3
39021010200,39,021,010200,79.3,1.313,3
39021010400,39,021,010400,73.7,2.0971,2
39021010500,39,021,010500,75.5,1.1378,3
39021010600,39,021,010600,75.6,1.5589,3
39021011001,39,021,011001,81.4,2.5979,3
39021011501,39,021,011501,79.4,1.5986,3
39021011504,39,021,011504,78.2,1.5144,1
39021011505,39,021,011505,74.6,1.5934,3
39021011506,39,021,011506,75.1,1.9058,3
39023000200,39,023,000200,70.1,2.2645,3
39023000400,39,023,000400,71.1,1.9542,3
39023000500,39,023,000500,65.7,1.9564,3
39023000600,39,023,000600,69.1,1.9757,1
39023000901,39,023,000901,69.9,1.9339,3
39023000902,39,023,000902,69.4,3.0151,3
39023001000,39,023,001000,67.5,1.8307,3
39023001101,39,023,001101,71.2,2.4471,3
39023001102,39,023,001102,70.6,1.8617,3
39023001200,39,023,001200,68.9,1.2746,1
39023001300,39,023,001300,72.9,1.6312,3
39023001400,39,023,001400,74,1.9428,3
39023001500,39,023,001500,69.7,1.2558,3
39023001600,39,023,001600,76.3,1.3071,3
39023001700,39,023,001700,67.4,1.8868,3
39023001900,39,023,001900,73.9,1.8224,3
39023002000,39,023,002000,78.7,1.6894,3
39023002100,39,023,002100,69.6,2.0137,3
39023002200,39,023,002200,76.5,1.6601,3
39023002301,39,023,002301,76.4,1.0087,2
39023002403,39,023,002403,75.5,1.0354,3
39023002404,39,023,002404,74.2,1.2673,3
39023002501,39,023,002501,73.4,2.0137,3
39023002502,39,023,002502,75,1.4728,3
39023002601,39,023,002601,83.6,2.28,3
39023002602,39,023,002602,78.6,1.2977,3
39023002605,39,023,002605,79.1,1.8217,3
39023002701,39,023,002701,73.4,1.3308,1
39023002702,39,023,002702,77.5,1.4789,3
39023002800,39,023,002800,80.6,1.3319,3
39023002901,39,023,002901,74.2,1.1874,3
39023002902,39,023,002902,74.7,1.5684,3
39023003001,39,023,003001,77.3,1.2144,3
39023003002,39,023,003002,78.9,2.4781,3
39023003101,39,023,003101,76.7,1.611,3
39023003102,39,023,003102,81.5,2.0438,3
39023003200,39,023,003200,78.8,1.3246,3
39023003301,39,023,003301,74.9,1.4825,3
39023003302,39,023,003302,76.2,1.5224,3
39023003400,39,023,003400,74.9,1.8952,3
39023003700,39,023,003700,79,1.6297,3
39025040101,39,025,040101,75.4,1.3396,3
39025040102,39,025,040102,78.2,2.0722,3
